timestamps,open,high,low,close,volume,amount
2025-08-15 03:30:00,23834.77,23849.46,23828.28,23848.72,800.0,19078976.0
2025-08-15 04:00:00,23849.06,23862.06,23849.06,23855.1,852.0,20324545.2
2025-08-15 04:30:00,23854.9,23865.71,23852.86,23856.97,617.0,14719750.49
2025-08-15 05:00:00,23856.71,23864.23,23844.1,23845.61,897.0,21389512.17
2025-08-15 05:30:00,23845.39,23863.07,23844.41,23861.26,651.0,15533680.26
2025-08-15 06:00:00,23861.09,23868.34,23853.59,23858.65,1117.0,26650112.05
2025-08-15 06:30:00,23858.72,23875.2,23858.39,23866.08,1199.0,28615429.92
2025-08-15 07:00:00,23866.93,23878.04,23858.14,23862.04,1618.0,38608780.72
2025-08-15 07:30:00,23861.61,23864.87,23844.44,23855.37,1377.0,32848844.49
2025-08-15 08:00:00,23855.69,23869.06,23848.65,23849.7,1630.0,38875011.0
2025-08-15 08:30:00,23849.74,23851.37,23790.97,23802.85,2072.0,49319505.199999996
2025-08-15 09:00:00,23802.64,23816.06,23796.62,23812.28,1604.0,38194897.12
2025-08-15 09:30:00,23812.17,23813.91,23797.21,23799.47,1437.0,34199838.39
2025-08-15 10:00:00,23799.89,23814.68,23792.78,23814.45,1448.0,34483323.6
2025-08-15 10:30:00,23814.23,23839.33,23813.77,23827.63,1430.0,34073510.9
2025-08-15 11:00:00,23827.24,23844.77,23825.19,23839.44,1203.0,28678846.319999997
2025-08-15 11:30:00,23839.33,23846.8,23832.98,23840.03,952.0,22695708.56
2025-08-15 12:00:00,23840.43,23841.0,23804.92,23819.61,2036.0,48496725.96
2025-08-15 12:30:00,23819.6,23833.99,23807.16,23825.57,2913.0,69403885.41
2025-08-15 13:00:00,23825.15,23844.49,23809.08,23832.15,3079.0,73379189.85000001
2025-08-15 13:30:00,23831.7,23831.7,23691.36,23728.38,14529.0,344749633.02000004
2025-08-15 14:00:00,23725.96,23800.32,23684.69,23776.19,10792.0,256592642.48
2025-08-15 14:30:00,23775.91,23782.51,23708.41,23720.83,7661.0,181725278.63000003
2025-08-15 15:00:00,23720.7,23753.3,23707.91,23722.66,4965.0,117783006.9
2025-08-15 15:30:00,23722.41,23739.84,23655.4,23708.82,5730.0,135851538.6
2025-08-15 16:00:00,23708.46,23729.59,23682.14,23685.59,4695.0,111203845.05
2025-08-15 16:30:00,23686.05,23744.58,23681.97,23737.61,3946.0,93668609.06
2025-08-15 17:00:00,23738.06,23743.16,23705.32,23724.08,3262.0,77387948.96000001
2025-08-15 17:30:00,23723.91,23761.39,23719.84,23757.83,2784.0,66141798.720000006
2025-08-15 18:00:00,23757.41,23765.08,23720.46,23742.09,4300.0,102090987.0
2025-08-15 18:30:00,23741.94,23747.6,23709.78,23729.18,2758.0,65445078.44
2025-08-15 19:00:00,23728.79,23733.08,23693.63,23726.33,4305.0,102141850.65
2025-08-15 19:30:00,23726.33,23747.56,23711.69,23724.1,4319.0,102464387.89999999
2025-08-15 20:00:00,23724.38,23729.84,23697.16,23714.7,2033.0,48211985.1
2025-08-15 20:30:00,23714.67,23717.05,23709.66,23714.39,695.0,16481501.049999999
2025-08-17 22:00:00,23727.74,23774.98,23727.74,23771.98,1696.0,40317278.08
2025-08-17 22:30:00,23772.18,23779.96,23770.26,23774.98,880.0,20921982.4
2025-08-17 23:00:00,23774.97,23777.21,23767.82,23772.33,635.0,15095429.55
2025-08-17 23:30:00,23772.48,23786.53,23770.68,23777.95,925.0,21994603.75
2025-08-18 00:00:00,23777.91,23793.51,23773.04,23788.3,1209.0,28760054.7
2025-08-18 00:30:00,23788.07,23792.73,23781.61,23784.9,818.0,19456048.200000003
2025-08-18 01:00:00,23784.75,23800.86,23782.85,23797.77,834.0,19847340.18
2025-08-18 01:30:00,23797.96,23808.19,23797.07,23808.19,705.0,16784773.95
2025-08-18 02:00:00,23808.25,23808.45,23794.0,23800.57,705.0,16779401.85
2025-08-18 02:30:00,23800.57,23804.31,23798.88,23802.84,476.0,11330151.84
2025-08-18 03:00:00,23802.74,23805.42,23795.0,23795.31,468.0,11136205.08
2025-08-18 03:30:00,23795.51,23795.51,23782.51,23784.22,675.0,16054348.5
2025-08-18 04:00:00,23784.04,23785.97,23772.27,23782.36,707.0,16814128.52
2025-08-18 04:30:00,23782.05,23785.92,23775.0,23775.48,600.0,14265288.0
2025-08-18 05:00:00,23775.72,23783.48,23768.38,23770.04,736.0,17494749.44
2025-08-18 05:30:00,23770.56,23782.45,23770.25,23778.77,655.0,15575094.35
2025-08-18 06:00:00,23778.55,23780.5,23726.46,23731.05,1286.0,30518130.3
2025-08-18 06:30:00,23730.77,23749.66,23696.24,23725.96,1945.0,46146992.199999996
2025-08-18 07:00:00,23727.34,23741.46,23708.04,23723.51,2950.0,69984354.5
2025-08-18 07:30:00,23723.69,23734.26,23705.28,23731.09,2325.0,55174784.25
2025-08-18 08:00:00,23730.71,23736.46,23672.79,23694.63,3495.0,82812731.85000001
2025-08-18 08:30:00,23694.29,23723.89,23688.53,23706.5,1909.0,45255708.5
2025-08-18 09:00:00,23706.54,23709.01,23664.28,23676.16,2171.0,51400943.36
2025-08-18 09:30:00,23676.03,23691.47,23674.42,23683.85,1557.0,36875754.449999996
2025-08-18 10:00:00,23683.83,23698.77,23681.8,23689.17,1391.0,32951635.47
2025-08-18 10:30:00,23689.69,23718.04,23689.59,23713.81,1172.0,27792585.32
2025-08-18 11:00:00,23714.19,23716.96,23686.12,23690.6,1521.0,36033402.6
2025-08-18 11:30:00,23690.31,23700.21,23673.3,23697.57,1396.0,33081807.72
2025-08-18 12:00:00,23697.1,23698.3,23673.25,23698.06,1736.0,41139832.160000004
2025-08-18 12:30:00,23697.8,23703.0,23679.7,23701.79,1704.0,40387850.160000004
2025-08-18 13:00:00,23701.55,23714.55,23684.31,23695.41,2317.0,54902264.97
2025-08-18 13:30:00,23695.72,23744.48,23662.84,23674.91,12457.0,294918353.87
2025-08-18 14:00:00,23675.22,23751.22,23673.35,23704.86,7037.0,166811099.82
2025-08-18 14:30:00,23704.25,23715.22,23646.3,23704.84,6471.0,153394019.64000002
2025-08-18 15:00:00,23704.68,23710.98,23665.88,23670.8,4425.0,104743290.0
2025-08-18 15:30:00,23671.21,23685.58,23655.8,23674.32,3432.0,81250266.24
2025-08-18 16:00:00,23674.31,23704.46,23671.81,23697.22,2834.0,67157921.48
2025-08-18 16:30:00,23697.07,23706.18,23647.56,23661.99,3322.0,78605130.78
2025-08-18 17:00:00,23662.48,23697.18,23660.62,23696.49,2357.0,55852626.93000001
2025-08-18 17:30:00,23696.29,23727.73,23676.91,23685.98,3127.0,74066059.46
2025-08-18 18:00:00,23686.24,23700.97,23675.38,23692.92,2338.0,55394046.95999999
2025-08-18 18:30:00,23692.6,23727.93,23691.84,23720.93,2235.0,53016278.55
2025-08-18 19:00:00,23721.23,23737.73,23710.86,23717.73,2368.0,56163584.64
2025-08-18 19:30:00,23717.32,23741.6,23712.07,23723.25,2892.0,68607639.0
2025-08-18 20:00:00,23722.86,23731.41,23710.1,23716.84,1395.0,33084991.8
2025-08-18 20:30:00,23716.56,23721.45,23711.01,23714.47,644.0,15272118.680000002
2025-08-18 22:00:00,23722.47,23766.39,23722.12,23741.79,1566.0,37179643.14
2025-08-18 22:30:00,23741.96,23753.2,23736.8,23749.4,712.0,16909572.8
2025-08-18 23:00:00,23749.69,23752.95,23738.92,23745.45,690.0,16384360.5
2025-08-18 23:30:00,23745.28,23745.28,23731.58,23734.23,763.0,18109217.49
2025-08-19 00:00:00,23733.97,23734.19,23710.56,23711.16,1505.0,35685295.8
2025-08-19 00:30:00,23711.45,23713.39,23691.58,23709.62,1659.0,39334259.58
2025-08-19 01:00:00,23709.95,23720.97,23707.01,23708.0,1409.0,33404572.0
2025-08-19 01:30:00,23707.78,23711.46,23694.57,23698.83,1396.0,33083566.680000003
2025-08-19 02:00:00,23698.57,23711.79,23692.53,23702.78,1138.0,26973763.639999997
2025-08-19 02:30:00,23702.3,23710.81,23691.41,23692.97,952.0,22555707.44
2025-08-19 03:00:00,23693.1,23714.17,23687.17,23711.81,913.0,21648882.53
2025-08-19 03:30:00,23711.78,23711.78,23679.7,23682.76,1146.0,27140442.959999997
2025-08-19 04:00:00,23682.98,23683.89,23668.13,23669.8,835.0,19764283.0
2025-08-19 04:30:00,23669.58,23690.9,23668.98,23688.54,802.0,18998209.080000002
2025-08-19 05:00:00,23688.72,23694.2,23663.61,23669.84,1009.0,23882868.56
2025-08-19 05:30:00,23669.99,23679.88,23663.07,23668.06,989.0,23407711.34
2025-08-19 06:00:00,23667.83,23685.92,23666.55,23683.95,1197.0,28349688.150000002
2025-08-19 06:30:00,23683.97,23698.39,23681.34,23694.95,790.0,18719010.5
2025-08-19 07:00:00,23696.46,23702.39,23687.95,23689.46,1510.0,35771084.6
2025-08-19 07:30:00,23689.46,23703.93,23680.28,23701.97,1211.0,28703085.67
2025-08-19 08:00:00,23702.04,23715.78,23677.98,23701.17,1620.0,38395895.4
2025-08-19 08:30:00,23701.53,23718.54,23695.05,23717.93,976.0,23148699.68
2025-08-19 09:00:00,23717.55,23735.75,23712.76,23731.17,1060.0,25155040.2
2025-08-19 09:30:00,23731.43,23734.03,23715.53,23717.93,944.0,22389725.92
2025-08-19 10:00:00,23718.25,23720.95,23703.77,23710.08,1535.0,36394972.800000004
2025-08-19 10:30:00,23709.97,23711.21,23682.3,23695.47,1430.0,33884522.1
