timestamps,open,high,low,close,volume,amount
2026-05-13 15:30:00,49545.5,49606.6,49536.5,49580.2,7197.0,356828699.4
2026-05-13 16:00:00,49579.4,49679.6,49547.6,49659.6,6835.0,339423366.0
2026-05-13 16:30:00,49658.8,49670.4,49601.2,49633.8,5655.0,280679139.0
2026-05-13 17:00:00,49634.5,49688.9,49622.6,49662.2,5319.0,264153241.79999998
2026-05-13 17:30:00,49661.4,49705.7,49636.2,49698.3,4795.0,238303348.5
2026-05-13 18:00:00,49698.8,49756.7,49686.2,49733.2,5778.0,287358429.59999996
2026-05-13 18:30:00,49733.0,49760.7,49683.1,49738.1,5504.0,273758502.4
2026-05-13 19:00:00,49738.7,49776.7,49731.2,49766.7,4970.0,247340499.0
2026-05-13 19:30:00,49766.2,49785.6,49715.3,49739.2,6535.0,325045672.0
2026-05-13 20:00:00,49738.3,49822.7,49720.9,49819.2,2306.0,114883075.19999999
2026-05-13 20:30:00,49819.6,49855.7,49818.2,49840.8,896.0,44657356.800000004
2026-05-13 22:00:00,49852.3,49873.6,49836.3,49847.9,1208.0,60216263.2
2026-05-13 22:30:00,49847.9,49866.7,49846.2,49854.5,548.0,27320266.0
2026-05-13 23:00:00,49854.8,49861.4,49843.4,49846.2,649.0,32350183.799999997
2026-05-13 23:30:00,49846.7,49857.5,49837.2,49850.7,353.0,17597297.099999998
2026-05-14 00:00:00,49850.2,49866.7,49829.2,49862.7,1843.0,91896956.1
2026-05-14 00:30:00,49863.5,49878.5,49845.4,49862.2,1118.0,55745939.599999994
2026-05-14 01:00:00,49862.7,49864.7,49832.2,49844.7,936.0,46654639.199999996
2026-05-14 01:30:00,49844.2,49848.4,49822.2,49827.5,929.0,46289747.5
2026-05-14 02:00:00,49828.5,49847.5,49826.2,49846.6,757.0,37733876.199999996
2026-05-14 02:30:00,49846.1,49863.7,49845.2,49854.5,807.0,40232581.5
2026-05-14 03:00:00,49854.1,49871.7,49852.2,49870.4,706.0,35208502.4
2026-05-14 03:30:00,49870.7,49870.7,49846.1,49852.7,806.0,40181276.199999996
2026-05-14 04:00:00,49853.5,49864.7,49846.2,49863.7,642.0,32012495.4
2026-05-14 04:30:00,49863.2,49874.4,49853.2,49856.7,654.0,32606281.799999997
2026-05-14 05:00:00,49856.2,49864.5,49845.2,49853.5,1085.0,54091047.5
2026-05-14 05:30:00,49854.5,49910.5,49848.2,49876.4,2239.0,111673259.60000001
2026-05-14 06:00:00,49875.4,49910.7,49875.2,49892.7,1663.0,82971560.1
2026-05-14 06:30:00,49893.5,49930.7,49892.4,49910.7,1278.0,63785874.599999994
2026-05-14 07:00:00,49910.2,49916.0,49878.3,49893.1,2017.0,100634382.7
2026-05-14 07:30:00,49892.4,49931.5,49853.5,49857.7,1783.0,88896279.1
2026-05-14 08:00:00,49857.3,49962.7,49847.4,49958.7,2792.0,139484690.4
2026-05-14 08:30:00,49959.4,49982.7,49942.9,49964.4,1979.0,98879547.60000001
2026-05-14 09:00:00,49964.7,49990.6,49943.2,49946.9,1799.0,89854473.10000001
2026-05-14 09:30:00,49946.9,50001.5,49914.4,49992.7,2398.0,119882494.6
2026-05-14 10:00:00,49992.9,50069.4,49980.9,50059.9,3220.0,161192878.0
2026-05-14 10:30:00,50059.9,50101.3,50027.2,50085.4,2504.0,125413841.60000001
2026-05-14 11:00:00,50085.8,50142.4,50075.3,50081.0,2610.0,130711410.0
2026-05-14 11:30:00,50081.4,50142.6,50077.5,50109.4,1903.0,95358188.2
2026-05-14 12:00:00,50111.0,50180.6,50108.7,50145.4,2606.0,130678912.4
