<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.06.07	11:30:00	62523.06	62759.75	62441.38	62628.63	2539	0	1008
2026.06.07	12:00:00	62628.63	62648.63	61859.34	61938.40	5882	0	1008
2026.06.07	12:30:00	61938.38	62006.78	61558.12	61898.90	4839	0	1008
2026.06.07	13:00:00	61894.47	61900.98	61648.52	61851.37	3197	0	1008
2026.06.07	13:30:00	61851.38	61909.98	61669.23	61699.45	2628	0	1008
2026.06.07	14:00:00	61698.73	62159.81	61698.73	62088.55	3341	0	1008
2026.06.07	14:30:00	62088.53	62312.57	61736.68	61899.78	3771	0	1008
2026.06.07	15:00:00	61899.56	61985.73	61668.28	61962.69	3362	0	1008
2026.06.07	15:30:00	61967.03	62223.27	61946.66	62099.71	3053	0	1008
2026.06.07	16:00:00	62099.66	62338.32	61956.23	62169.25	3321	0	1008
2026.06.07	16:30:00	62169.35	62291.57	61974.40	62083.94	2682	0	1008
2026.06.07	17:00:00	62083.95	62329.12	62038.47	62243.74	2754	0	1008
2026.06.07	17:30:00	62243.75	62320.11	62088.14	62160.39	2523	0	1008
2026.06.07	18:00:00	62160.52	62296.94	62134.09	62220.90	2165	0	1008
2026.06.07	18:30:00	62219.57	62293.67	62013.64	62027.02	2295	0	1008
2026.06.07	19:00:00	62028.55	62037.87	61263.61	61480.55	4667	0	1008
2026.06.07	19:30:00	61481.23	61494.65	61175.25	61330.05	3524	0	1008
2026.06.07	20:00:00	61326.86	61913.17	61211.70	61741.07	3609	0	1008
2026.06.07	20:30:00	61741.09	61971.78	61694.89	61867.99	2541	0	1008
2026.06.07	21:00:00	61868.00	62008.13	61695.54	61783.78	2773	0	1008
2026.06.07	21:30:00	61783.63	61851.97	61643.22	61781.96	2424	0	1008
2026.06.07	22:00:00	61782.25	64273.96	61714.24	62997.25	13101	0	1008
2026.06.07	22:30:00	62997.16	63404.12	62780.63	62869.26	6272	0	1008
2026.06.07	23:00:00	62864.07	63282.08	62788.64	63259.76	4181	0	1008
2026.06.07	23:30:00	63257.70	63462.79	63102.37	63326.38	3504	0	1008
2026.06.08	00:00:00	63327.49	63524.01	63140.28	63508.17	4100	0	1008
2026.06.08	00:30:00	63508.37	63883.40	63403.37	63628.99	4685	0	1008
2026.06.08	01:00:00	63629.71	63653.91	62747.29	62825.08	5614	0	1008
2026.06.08	01:30:00	62819.85	63258.37	62710.63	63213.63	5083	0	1008
2026.06.08	02:00:00	63216.42	63266.72	62961.00	63110.47	3403	0	1008
2026.06.08	02:30:00	63110.39	63199.32	62907.36	63124.94	3076	0	1008
2026.06.08	03:00:00	63125.25	63466.99	62971.53	63153.59	3075	0	1008
2026.06.08	03:30:00	63153.51	63236.59	63067.86	63129.36	2502	0	1008
2026.06.08	04:00:00	63129.39	63178.07	62797.33	62937.59	3158	0	1008
2026.06.08	04:30:00	62938.91	62989.78	62643.89	62683.55	3050	0	1008
2026.06.08	05:00:00	62683.54	62826.89	62485.34	62733.77	3332	0	1008
2026.06.08	05:30:00	62732.68	62786.05	62402.43	62769.46	3429	0	1008
2026.06.08	06:00:00	62769.20	63151.63	62726.27	63068.42	3684	0	1008
2026.06.08	06:30:00	63068.42	63106.89	62909.90	62990.69	2720	0	1008
2026.06.08	07:00:00	62995.30	63255.63	62806.56	63182.45	3462	0	1008
2026.06.08	07:30:00	63182.46	63347.44	63074.99	63291.15	2904	0	1008
2026.06.08	08:00:00	63290.91	63290.91	62982.90	63111.67	3040	0	1008
2026.06.08	08:30:00	63114.17	63204.24	63028.95	63129.29	2803	0	1008
2026.06.08	09:00:00	63129.32	63584.40	63121.51	63381.40	3214	0	1008
2026.06.08	09:30:00	63381.40	63505.34	63158.74	63496.87	3273	0	1008
2026.06.08	10:00:00	63496.93	63557.21	63098.98	63147.77	2707	0	1008
2026.06.08	10:30:00	63147.73	63426.54	63082.80	63161.57	2903	0	1008
2026.06.08	11:00:00	63158.91	63675.98	63045.99	63614.34	3775	0	1008
2026.06.08	11:30:00	63615.63	63883.71	63407.51	63482.54	3569	0	1008
2026.06.08	12:00:00	63482.51	63663.21	62699.90	63102.56	6564	0	1008
2026.06.08	12:30:00	63102.57	63956.18	63102.57	63861.68	4232	0	1008
2026.06.08	13:00:00	63863.51	63948.59	63564.49	63587.54	3717	0	1000
2026.06.08	13:30:00	63585.04	63878.43	63353.31	63746.06	8383	0	1000
