<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.07.30	10:30:00	23378.72	23387.97	23374.38	23387.97	838	0	198
2025.07.30	11:00:00	23387.44	23394.92	23378.08	23392.28	971	0	199
2025.07.30	11:30:00	23392.33	23401.42	23384.03	23387.79	1269	0	199
2025.07.30	12:00:00	23387.54	23387.54	23352.17	23363.97	2541	0	199
2025.07.30	12:30:00	23364.24	23384.59	23354.40	23370.02	2816	0	200
2025.07.30	13:00:00	23370.02	23372.44	23350.57	23367.31	1961	0	198
2025.07.30	13:30:00	23367.06	23405.74	23330.80	23363.50	9171	0	196
2025.07.30	14:00:00	23363.10	23401.28	23347.38	23383.73	5044	0	194
2025.07.30	14:30:00	23384.00	23420.76	23384.00	23395.04	3554	0	193
2025.07.30	15:00:00	23394.58	23404.74	23355.12	23367.25	4272	0	194
2025.07.30	15:30:00	23366.73	23410.06	23355.88	23410.06	2903	0	193
2025.07.30	16:00:00	23409.59	23426.50	23396.91	23415.82	2333	0	193
2025.07.30	16:30:00	23415.35	23421.84	23399.35	23413.72	2210	0	191
2025.07.30	17:00:00	23414.01	23420.56	23404.52	23405.80	1896	0	192
2025.07.30	17:30:00	23406.00	23430.89	23403.35	23423.21	2209	0	191
2025.07.30	18:00:00	23422.81	23439.74	23392.49	23436.86	4974	0	194
2025.07.30	18:30:00	23437.01	23471.14	23280.24	23291.50	15604	0	195
2025.07.30	19:00:00	23291.93	23350.78	23237.09	23278.44	22084	0	199
2025.07.30	19:30:00	23278.87	23371.88	23266.02	23366.10	11745	0	196
2025.07.30	20:00:00	23366.38	23570.87	23354.04	23544.54	8482	0	201
2025.07.30	20:30:00	23544.54	23555.49	23536.81	23542.90	2691	0	197
2025.07.30	22:00:00	23590.67	23596.56	23568.58	23583.56	2371	0	202
2025.07.30	22:30:00	23583.79	23614.31	23583.79	23610.22	1483	0	202
2025.07.30	23:00:00	23610.17	23622.45	23604.99	23615.56	1258	0	203
2025.07.30	23:30:00	23615.22	23618.20	23606.68	23607.05	909	0	203
2025.07.31	00:00:00	23607.23	23629.19	23594.77	23618.44	1646	0	202
