<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.02.12	21:30:00	4920.533	4926.845	4915.917	4922.280	3190	0	160
2026.02.12	23:00:00	4893.140	4928.383	4887.646	4920.184	5821	0	240
2026.02.12	23:30:00	4920.167	4926.103	4906.074	4920.302	4888	0	176
2026.02.13	00:00:00	4920.054	4948.543	4913.787	4936.440	8406	0	160
2026.02.13	00:30:00	4936.502	4945.849	4926.963	4928.091	7158	0	160
2026.02.13	01:00:00	4928.165	4979.277	4926.962	4969.653	11655	0	240
2026.02.13	01:30:00	4969.729	4988.905	4964.468	4980.569	8400	0	240
2026.02.13	02:00:00	4980.601	4986.002	4972.637	4985.830	4921	0	240
2026.02.13	02:30:00	4985.836	4991.736	4972.198	4988.555	6721	0	240
2026.02.13	03:00:00	4988.415	4989.257	4973.874	4977.836	4764	0	240
2026.02.13	03:30:00	4977.911	4984.610	4974.980	4981.499	3020	0	160
2026.02.13	04:00:00	4981.466	4997.235	4975.709	4985.297	3828	0	240
2026.02.13	04:30:00	4985.303	4986.375	4972.791	4976.598	2854	0	240
2026.02.13	05:00:00	4976.803	4986.432	4964.983	4979.771	4170	0	240
2026.02.13	05:30:00	4979.668	4980.306	4944.863	4946.451	7265	0	160
2026.02.13	06:00:00	4946.550	4961.934	4946.273	4953.379	5855	0	160
2026.02.13	06:30:00	4953.305	4968.776	4950.851	4967.124	5973	0	240
2026.02.13	07:00:00	4966.920	4976.292	4950.903	4968.466	6442	0	240
2026.02.13	07:30:00	4968.322	4982.501	4966.266	4974.961	5249	0	240
2026.02.13	08:00:00	4975.092	4989.519	4971.992	4982.528	6039	0	160
2026.02.13	08:30:00	4982.530	4986.811	4970.681	4982.428	4901	0	160
2026.02.13	09:00:00	4982.510	4982.728	4964.171	4964.972	4625	0	160
2026.02.13	09:30:00	4965.054	4976.420	4961.527	4970.387	4248	0	160
2026.02.13	10:00:00	4970.367	4980.734	4965.924	4977.425	4218	0	160
2026.02.13	10:30:00	4977.500	4978.463	4946.925	4950.297	4373	0	160
2026.02.13	11:00:00	4950.174	4953.494	4933.494	4944.903	7192	0	160
2026.02.13	11:30:00	4945.151	4955.561	4935.227	4953.992	4978	0	160
2026.02.13	12:00:00	4954.010	4973.106	4951.886	4967.236	5255	0	240
2026.02.13	12:30:00	4967.228	4974.127	4963.802	4969.400	4241	0	160
2026.02.13	13:00:00	4969.493	4976.176	4957.509	4967.493	6070	0	160
2026.02.13	13:30:00	4967.520	5001.884	4967.371	4987.073	10839	0	240
2026.02.13	14:00:00	4986.998	5007.735	4984.842	5002.563	8035	0	240
2026.02.13	14:30:00	5002.488	5011.146	4963.928	4995.804	23876	0	240
2026.02.13	15:00:00	4995.898	5011.976	4992.296	5009.913	17453	0	240
2026.02.13	15:30:00	5009.787	5020.812	4973.736	4976.926	13076	0	176
2026.02.13	16:00:00	4977.129	5034.213	4975.165	5027.946	12060	0	160
2026.02.13	16:30:00	5027.781	5028.400	5006.006	5007.942	7011	0	160
2026.02.13	17:00:00	5008.013	5022.236	5005.771	5017.587	5633	0	160
2026.02.13	17:30:00	5017.764	5029.187	5016.053	5020.882	5227	0	160
2026.02.13	18:00:00	5020.794	5030.570	5015.181	5022.446	5734	0	160
2026.02.13	18:30:00	5022.370	5035.590	5020.190	5031.229	4478	0	160
2026.02.13	19:00:00	5031.302	5046.075	5030.581	5041.562	5027	0	160
2026.02.13	19:30:00	5041.458	5042.902	5023.493	5023.534	4906	0	240
2026.02.13	20:00:00	5023.653	5034.152	5023.653	5028.826	4942	0	240
2026.02.13	20:30:00	5028.745	5034.701	5021.243	5032.486	5462	0	240
2026.02.13	21:00:00	5032.415	5036.088	5029.539	5032.848	2567	0	240
2026.02.13	21:30:00	5032.719	5046.101	5031.148	5042.605	6465	0	240
2026.02.15	23:00:00	5026.640	5032.237	5010.128	5029.326	6376	0	240
2026.02.15	23:30:00	5029.156	5031.333	5013.466	5019.914	3558	0	240
2026.02.16	00:00:00	5019.874	5021.473	4999.755	5012.215	6253	0	240
2026.02.16	00:30:00	5012.449	5022.853	5008.817	5015.450	3959	0	240
2026.02.16	01:00:00	5015.352	5031.167	5006.790	5028.938	4724	0	240
2026.02.16	01:30:00	5029.029	5031.192	5025.684	5028.990	3110	0	240
2026.02.16	02:00:00	5029.052	5031.480	5018.854	5019.705	3512	0	240
2026.02.16	02:30:00	5019.698	5021.852	4992.138	4994.619	5534	0	240
2026.02.16	03:00:00	4994.535	5000.013	4988.050	4994.948	4090	0	240
2026.02.16	03:30:00	4994.859	4996.745	4975.014	4987.733	5019	0	160
2026.02.16	04:00:00	4987.687	4992.030	4972.584	4976.601	4665	0	240
2026.02.16	04:30:00	4976.350	4980.033	4973.517	4977.865	3195	0	160
2026.02.16	05:00:00	4977.697	4988.399	4964.573	4986.439	4380	0	240
2026.02.16	05:30:00	4986.413	4990.693	4982.839	4990.616	2812	0	240
2026.02.16	06:00:00	4990.538	4994.884	4984.725	4993.220	2878	0	160
2026.02.16	06:30:00	4992.905	5003.100	4990.490	4994.980	3340	0	160
2026.02.16	07:00:00	4994.926	4999.535	4988.881	4997.977	3100	0	160
2026.02.16	07:30:00	4997.977	5009.954	4996.759	5007.321	3751	0	240
2026.02.16	08:00:00	5007.519	5013.322	4995.736	5006.035	4457	0	240
2026.02.16	08:30:00	5006.032	5010.179	5003.436	5008.022	2837	0	160
2026.02.16	09:00:00	5007.991	5016.288	5007.746	5013.468	2858	0	160
2026.02.16	09:30:00	5013.477	5017.232	5008.519	5013.582	2646	0	240
2026.02.16	10:00:00	5013.530	5017.146	5004.530	5004.953	2856	0	160
2026.02.16	10:30:00	5005.125	5010.916	5000.131	5006.049	3292	0	240
2026.02.16	11:00:00	5006.071	5007.066	4998.734	5004.679	2777	0	160
2026.02.16	11:30:00	5004.652	5007.966	5002.137	5004.267	2255	0	160
2026.02.16	12:00:00	5004.240	5004.981	4992.753	4996.447	2927	0	240
2026.02.16	12:30:00	4996.466	5008.096	4995.247	5001.972	3248	0	160
2026.02.16	13:00:00	5001.916	5003.535	4993.084	4994.264	2954	0	160
2026.02.16	13:30:00	4994.350	4998.611	4989.553	4997.361	3434	0	160
2026.02.16	14:00:00	4997.230	4999.426	4990.279	4992.198	3317	0	160
2026.02.16	14:30:00	4992.476	4994.462	4981.659	4988.171	4281	0	160
2026.02.16	15:00:00	4988.002	4988.337	4968.895	4980.234	5585	0	160
2026.02.16	15:30:00	4980.230	4983.131	4974.774	4979.735	3300	0	160
2026.02.16	16:00:00	4979.707	4987.424	4972.936	4986.162	3622	0	160
2026.02.16	16:30:00	4986.089	4990.306	4985.229	4988.076	2763	0	160
2026.02.16	17:00:00	4987.964	4995.421	4987.879	4994.513	2246	0	160
2026.02.16	17:30:00	4994.432	4995.890	4989.900	4991.455	2203	0	240
2026.02.16	18:00:00	4991.543	4997.313	4988.327	4994.338	2593	0	240
2026.02.16	18:30:00	4994.309	4997.933	4991.248	4994.708	3109	0	240
2026.02.16	19:00:00	4994.632	4996.116	4990.583	4993.895	3554	0	160
2026.02.16	23:00:00	4998.238	5000.719	4985.349	4994.351	2947	0	240
2026.02.16	23:30:00	4994.355	4995.543	4987.062	4989.986	2080	0	160
2026.02.17	00:00:00	4989.899	4991.592	4971.102	4973.335	4862	0	240
2026.02.17	00:30:00	4973.609	4978.978	4931.419	4935.712	7309	0	160
2026.02.17	01:00:00	4935.804	4957.816	4922.830	4956.625	8914	0	160
2026.02.17	01:30:00	4956.797	4964.074	4954.746	4957.944	4000	0	160
2026.02.17	02:00:00	4957.864	4971.436	4954.349	4965.351	3782	0	160
2026.02.17	02:30:00	4965.456	4967.352	4959.361	4967.040	2771	0	160
2026.02.17	03:00:00	4966.960	4970.075	4953.922	4955.416	3796	0	160
2026.02.17	03:30:00	4955.490	4960.411	4949.839	4956.886	3355	0	160
2026.02.17	04:00:00	4956.827	4960.363	4946.776	4959.503	2794	0	160
2026.02.17	04:30:00	4959.498	4960.342	4949.522	4952.816	2606	0	160
2026.02.17	05:00:00	4952.982	4954.276	4888.340	4900.519	10929	0	160
2026.02.17	05:30:00	4900.614	4902.277	4858.728	4888.634	13848	0	160
2026.02.17	06:00:00	4888.674	4901.454	4886.528	4894.705	5701	0	160
2026.02.17	06:30:00	4894.832	4914.219	4891.459	4910.377	4821	0	160
2026.02.17	07:00:00	4910.456	4916.844	4903.993	4908.067	4251	0	160
2026.02.17	07:30:00	4908.179	4922.014	4903.850	4917.021	4351	0	160
2026.02.17	08:00:00	4917.000	4930.270	4916.035	4919.932	5398	0	160
2026.02.17	08:30:00	4920.240	4925.571	4916.399	4920.721	4104	0	160
2026.02.17	09:00:00	4920.863	4929.244	4918.184	4919.010	4251	0	160
2026.02.17	09:30:00	4918.993	4932.552	4912.838	4926.024	4539	0	160
2026.02.17	10:00:00	4925.970	4939.206	4923.866	4928.037	3654	0	160
2026.02.17	10:30:00	4928.293	4928.293	4907.590	4913.177	5019	0	160
2026.02.17	11:00:00	4913.322	4930.961	4913.195	4927.627	3759	0	160
2026.02.17	11:30:00	4927.669	4930.961	4921.317	4929.179	3528	0	160
2026.02.17	12:00:00	4929.060	4944.351	4928.191	4942.760	5325	0	160
2026.02.17	12:30:00	4942.625	4944.164	4928.915	4932.270	4088	0	160
2026.02.17	13:00:00	4932.173	4933.279	4911.004	4919.501	6747	0	160
2026.02.17	13:30:00	4919.760	4924.233	4869.625	4870.724	11267	0	160
2026.02.17	14:00:00	4870.541	4904.551	4841.149	4898.048	16152	0	160
2026.02.17	14:30:00	4897.976	4907.182	4855.969	4864.129	26197	0	160
2026.02.17	15:00:00	4864.061	4877.417	4848.873	4861.628	19447	0	160
2026.02.17	15:30:00	4861.705	4882.548	4852.839	4878.263	14141	0	160
2026.02.17	16:00:00	4878.366	4893.683	4876.301	4883.760	11333	0	160
2026.02.17	16:30:00	4883.688	4887.540	4868.386	4869.369	9496	0	160
2026.02.17	17:00:00	4869.462	4871.303	4849.915	4864.851	8876	0	160
2026.02.17	17:30:00	4864.924	4868.471	4853.762	4865.243	8251	0	160
2026.02.17	18:00:00	4865.324	4890.451	4862.484	4887.085	9075	0	160
2026.02.17	18:30:00	4887.098	4910.733	4879.943	4898.961	7858	0	160
2026.02.17	19:00:00	4899.097	4901.171	4881.774	4883.732	7090	0	160
2026.02.17	19:30:00	4883.678	4888.126	4876.609	4880.422	5358	0	160
2026.02.17	20:00:00	4880.378	4882.511	4873.239	4877.891	5062	0	160
2026.02.17	20:30:00	4877.814	4884.257	4874.046	4878.095	6796	0	160
2026.02.17	21:00:00	4878.025	4887.009	4874.866	4880.455	3145	0	160
2026.02.17	21:30:00	4880.659	4881.766	4876.670	4878.018	1812	0	160
2026.02.17	23:00:00	4863.153	4884.656	4860.096	4877.375	3763	0	240
2026.02.17	23:30:00	4877.308	4883.919	4853.954	4859.523	4218	0	160
2026.02.18	00:00:00	4859.221	4872.031	4858.455	4870.134	5662	0	160
2026.02.18	00:30:00	4870.143	4882.942	4867.861	4874.950	4466	0	160
2026.02.18	01:00:00	4874.905	4891.375	4874.564	4886.985	4629	0	160
2026.02.18	01:30:00	4886.963	4892.866	4882.876	4889.833	3288	0	160
2026.02.18	02:00:00	4889.732	4904.149	4886.583	4901.068	3958	0	160
2026.02.18	02:30:00	4900.935	4907.260	4900.741	4905.298	2203	0	160
2026.02.18	03:00:00	4905.106	4919.944	4904.346	4919.158	3045	0	160
2026.02.18	03:30:00	4919.231	4922.215	4916.646	4920.873	2491	0	160
2026.02.18	04:00:00	4920.888	4933.535	4918.318	4932.954	3165	0	160
2026.02.18	04:30:00	4932.999	4940.110	4931.490	4933.918	2817	0	160
2026.02.18	05:00:00	4933.993	4939.351	4929.820	4935.378	2673	0	160
2026.02.18	05:30:00	4935.377	4939.864	4933.163	4933.376	2212	0	160
